[11-10-2021 22:37:21] >> DELETED ./log.txt File => Success     > null = 86:31 => file:///home/pi/terrarium/backend/data-manage.mjs

[11-10-2021 22:37:21] Terrarium Server Restarted
Initialization Complete
     > null = 415:1 => file:///home/pi/terrarium/terrarium.mjs

-> Email Sent Successfully
[11-10-2021 22:38:05] [#2] SENSOR ERROR [Sensor is ON] :: Error: failed to read sensor     > null = 100:9 => file:///home/pi/terrarium/backend/utility.mjs

[11-10-2021 22:38:17] [#1] SENSOR ERROR [Sensor is ON] :: Error: failed to read sensor     > null = 100:9 => file:///home/pi/terrarium/backend/utility.mjs

[11-11-2021 0:57:44] MEMORY REPORTING :: Usage-5m: 151.88671875 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0000,0.0200,0.0000 | Time: 8407.519654394

[11-11-2021 1:02:44] MEMORY REPORTING :: Usage-5m: 151.6484375 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 8707.520610559

[11-11-2021 1:07:44] MEMORY REPORTING :: Usage-5m: 151.6796875 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 9007.521030438

[11-11-2021 1:12:44] MEMORY REPORTING :: Usage-5m: 151.6875 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0300,0.0200,0.0000 | Time: 9307.521081971

[11-11-2021 1:17:44] MEMORY REPORTING :: Usage-5m: 150.7109375 | Total Memory-5m: 923.20703125 | Load-5m: 0.07 | Total Load-5m: 0.0900,0.0700,0.0100 | Time: 9607.52184161

[11-11-2021 1:22:44] MEMORY REPORTING :: Usage-5m: 150.703125 | Total Memory-5m: 923.20703125 | Load-5m: 0.07 | Total Load-5m: 0.0800,0.0700,0.0100 | Time: 9907.522571946

[11-11-2021 1:27:44] MEMORY REPORTING :: Usage-5m: 150.703125 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.0000,0.0300,0.0000 | Time: 10207.523090754

[11-11-2021 1:32:44] MEMORY REPORTING :: Usage-5m: 150.45703125 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.0500,0.0300,0.0000 | Time: 10507.522893695

[11-11-2021 1:37:44] MEMORY REPORTING :: Usage-5m: 149.94921875 | Total Memory-5m: 923.20703125 | Load-5m: 0.04 | Total Load-5m: 0.0200,0.0400,0.0000 | Time: 10807.53552194

[11-11-2021 1:42:44] MEMORY REPORTING :: Usage-5m: 149.95703125 | Total Memory-5m: 923.20703125 | Load-5m: 0.05 | Total Load-5m: 0.0600,0.0500,0.0000 | Time: 11107.535898073

[11-11-2021 1:47:44] MEMORY REPORTING :: Usage-5m: 149.96484375 | Total Memory-5m: 923.20703125 | Load-5m: 0.01 | Total Load-5m: 0.0000,0.0100,0.0000 | Time: 11407.53651602

[11-11-2021 1:52:44] MEMORY REPORTING :: Usage-5m: 149.7265625 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 11707.535756729

[11-11-2021 1:57:44] MEMORY REPORTING :: Usage-5m: 149.71875 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0800,0.0200,0.0100 | Time: 12007.536359153

[11-11-2021 2:02:44] MEMORY REPORTING :: Usage-5m: 149.7265625 | Total Memory-5m: 923.20703125 | Load-5m: 0.04 | Total Load-5m: 0.0600,0.0400,0.0000 | Time: 12307.536248473

[11-11-2021 2:07:44] MEMORY REPORTING :: Usage-5m: 148.96484375 | Total Memory-5m: 923.20703125 | Load-5m: 0.05 | Total Load-5m: 0.1000,0.0500,0.0100 | Time: 12607.536479458

[11-11-2021 2:12:44] MEMORY REPORTING :: Usage-5m: 148.98046875 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0000,0.0200,0.0000 | Time: 12907.536572072

